,query,lat,lon,lat_min,lat_max,lon_min,lon_max
1,Afghanistan,33.7680065,66.2385139,29.3772,38.4910682,60.5176034,74.889862
2,Albania,41.000028,19.9999619,39.6448625,42.6610848,19.1246095,21.0574335
3,Algeria,28.0000272,2.9999825,18.968147,37.2962055,-8.668908,11.997337
4,American Samoa,-14.289304,-170.692511,-21.289304,-7.289304,-177.692511,-163.692511
5,Angola,-11.8775768,17.5691241,-18.038945,-4.3880634,11.4609793,24.0878856
6,Antigua and Barbuda,17.2234721,-61.9554608,16.7573901,17.929,-62.5536517,-61.447857
7,Argentina,-34.9964963,-64.9672817,-55.1850761,-21.7808568,-73.5605371,-53.6374515
8,Australia,-24.7761086,134.755,-55.3228175,-9.0880125,72.2461932,168.2261259
9,Austria,47.2000338,13.199959,46.3722761,49.0205306,9.5307487,17.160776
10,Bahamas,24.7736546,-78.0000547,20.7059846,27.4734551,-80.7001941,-72.4477521
11,Bahrain,26.1551249,50.5344606,25.535,26.6872444,50.2697989,50.9233693
12,Bangladesh,24.4768783,90.2932426,20.3756582,26.6382534,88.007915,92.6804979
13,Barbados,13.1500331,-59.5250305,12.845,13.535,-59.8562115,-59.2147175
14,Belize,16.8259793,-88.7600927,15.8857286,18.4959143,-89.2273252,-87.3098494
15,Benin,9.5293472,2.2584408,6.0398696,12.4092028,0.776667,3.8451454
16,Bermuda,32.3018217,-64.7603583,32.0469651,32.5913693,-65.1232222,-64.4109842
17,Bhutan,27.549511,90.5119273,26.7016961,28.246987,88.7464724,92.1252321
18,Bolivia,-17.0568696,-64.9912286,-22.8982742,-9.6689438,-69.6450073,-57.453
19,Botswana,-23.1681782,24.5928742,-26.9059669,-17.778137,19.9986474,29.375304
20,Brazil,-10.3333333,-53.2,-33.8689056,5.2693306,-73.9830625,-28.6289646
21,British Virgin Islands,18.4024395,-64.5661642,18.1055311,18.9503802,-64.9559611,-64.0597294
22,Brunei,4.4137155,114.5653908,4.002508,5.1011857,114.0758734,115.3635623
23,Bulgaria,42.6073975,25.4856617,41.2353929,44.2158144,22.3571459,28.8875409
24,Burkina Faso,12.0753083,-1.6880314,9.4104718,15.084,-5.513207,2.4089717
25,Burundi,-3.3634357,29.8870575,-4.4693155,-2.3096796,29.0007401,30.8498462
26,Cambodia,13.5066394,104.869423,9.4752639,14.6904224,102.3338282,107.6276788
27,Cameroon,4.6125522,13.1535811,1.648982,13.083333,8.3822176,16.1885973
28,Canada,61.0666922,-107.9917071,41.6765556,83.3362128,-141.00275,-52.3231981
29,Central African Republic,7.0323598,19.9981227,2.2053898,11.001389,14.4155426,27.4665499
30,Chad,15.6134137,19.0156172,7.44107,23.4514945,13.47348,24
31,Chile,-31.7613365,-71.3187697,-85,-17.4983998,-109.6795789,-53
32,China,35.000074,104.999927,8.8379047,53.5608154,73.4997347,134.7754563
33,Colombia,2.8894434,-73.783892,-4.2316872,16.0571269,-82.1243666,-66.8511907
