Entity,Code,Year,Wheat (tonnes per hectare),Rice (tonnes per hectare),Maize (tonnes per hectare),Soybeans (tonnes per hectare),Potatoes (tonnes per hectare),Beans (tonnes per hectare),Peas (tonnes per hectare),Cassava (tonnes per hectare),Barley (tonnes per hectare),Cocoa beans (tonnes per hectare),Bananas (tonnes per hectare)
Afghanistan,AFG,1961,1.022,1.519,1.4,0,8.6667,0,0,0,1.08,0,0
Afghanistan,AFG,1962,0.9735,1.519,1.4,0,7.6667,0,0,0,1.08,0,0
Afghanistan,AFG,1963,0.8317,1.519,1.426,0,8.1333,0,0,0,1.08,0,0
Afghanistan,AFG,1964,0.951,1.7273,1.4257,0,8.6,0,0,0,1.0857,0,0
Afghanistan,AFG,1965,0.9723,1.7273,1.44,0,8.8,0,0,0,1.0857,0,0
Afghanistan,AFG,1966,0.8666,1.518,1.44,0,9.0667,0,0,0,1.0714,0,0
Afghanistan,AFG,1967,1.1232,1.9223,1.4144,0,9.8,0,0,0,1.1297,0,0
Afghanistan,AFG,1968,1.1562,1.9515,1.7064,0,10,0,0,0,1.1388,0,0
Afghanistan,AFG,1969,1.1855,1.9757,1.7177,0,10.1987,0,0,0,1.1514,0,0
Afghanistan,AFG,1970,0.9563,1.8119,1.4757,0,9.5364,0,0,0,1.1746,0,0
Afghanistan,AFG,1971,0.8149,1.75,1.34,0,11.1333,0,0,0,1.127,0,0
Afghanistan,AFG,1972,0.8457,1.9048,1.5652,0,10.3947,0,0,0,1.0938,0,0
Afghanistan,AFG,1973,1.1739,2,1.617,0,11,0,0,0,1.125,0,0
Afghanistan,AFG,1974,1.2074,2,1.617,0,10.9639,0,0,0,1.117,0,0
Afghanistan,AFG,1975,1.2128,2.0714,1.6116,0,11.4412,0,0,0,1.2,0,0
Afghanistan,AFG,1976,1.2494,2.1333,1.6598,0,17.8788,0,0,0,1.2903,0,0
Afghanistan,AFG,1977,1.1309,1.9048,1.5833,0,10.5263,0,0,0,0.9677,0,0
Afghanistan,AFG,1978,1.198,2.0381,1.6183,0,13.7363,0,0,0,1.0484,0,0
Afghanistan,AFG,1979,1.2317,2.1311,1.6102,0,14.3575,0,0,0,1.0461,0,0
Afghanistan,AFG,1980,1.2549,2.1728,1.6711,0,14.8603,0,0,0,1.049,0,0
Afghanistan,AFG,1981,1.235,2.2414,1.669,0,15.4237,0,0,0,1.0791,0,0
Afghanistan,AFG,1982,1.2299,2.1994,1.6658,0,15.5114,0,0,0,1.0739,0,0
Afghanistan,AFG,1983,1.258,2.2581,1.6641,0,15.7647,0,0,0,1.0992,0,0
Afghanistan,AFG,1984,1.2319,2.2416,1.6612,0,14.4444,0,0,0,1.0855,0,0
Afghanistan,AFG,1985,1.2277,2.2482,1.6652,0,14.0909,0,0,0,1.086,0,0
Afghanistan,AFG,1986,1.189,2.24,1.6875,0,15.8667,0,0,0,1.0845,0,0
Afghanistan,AFG,1987,1.2849,2,1.702,0,15.5,0,0,0,1.0845,0,0
Afghanistan,AFG,1988,1.1728,1.9056,1.7034,0,15.5714,0,0,0,1.1085,0,0
Afghanistan,AFG,1989,1.118,1.8824,1.6963,0,15.2632,0,0,0,1.0948,0,0
Afghanistan,AFG,1990,1.051,1.9029,1.7582,0,16.8421,0,0,0,1.0537,0,0
Afghanistan,AFG,1991,1.0213,1.9364,1.68,0,16.6418,0,0,0,1.0637,0,0
Afghanistan,AFG,1992,1.0313,1.7143,1.5,0,16.6667,0,0,0,0.8,0,0
Afghanistan,AFG,1993,1.0211,1.7143,1.6786,0,16.6912,0,0,0,1,0,0
Afghanistan,AFG,1994,1.025,1.9,1.6667,0,16.5942,0,0,0,0.92,0,0
Afghanistan,AFG,1995,1.0895,2.2941,1.6563,0,16.6187,0,0,0,0.8889,0,0
Afghanistan,AFG,1996,1.122,1.9429,1.6364,0,16.6429,0,0,0,1,0,0
Afghanistan,AFG,1997,1.2764,2.2222,1.5,0,16.7857,0,0,0,1.25,0,0
Afghanistan,AFG,1998,1.2964,2.5,1.65,0,16.7857,0,0,0,1.2,0,0
Afghanistan,AFG,1999,1.2329,2,1.5,0,16.7857,0,0,0,1.2,0,0
Afghanistan,AFG,2000,0.724,2,1.1979,0,16.7857,0,0,0,0.5968,0,0
Afghanistan,AFG,2001,0.8977,2,2,0,16.7857,0,0,0,1,0,0
Afghanistan,AFG,2002,1.5419,2.8741,2.98,0,16.4286,0,0,0,1.4619,0,0
Afghanistan,AFG,2003,1.5,2.9931,0.84,0,16.6667,0,0,0,0.8889,0,0
Afghanistan,AFG,2004,1.2659,2.3744,1.6,0,17.6471,0,0,0,0.9206,0,0
Afghanistan,AFG,2005,1.8215,3.0313,1.2069,0,15,0,0,0,1.4042,0,0
Afghanistan,AFG,2006,1.376,3.375,2.6204,0,15,0,0,0,1.5424,0,0
Afghanistan,AFG,2007,1.8183,3.2471,2.6277,0,15.04,0,0,0,1.5678,0,0
Afghanistan,AFG,2008,1.2263,3.2211,2.6277,0,14,0,0,0,1.411,0,0
Afghanistan,AFG,2009,1.9666,3.225,2.1429,0,14,0,0,0,1.8202,0,0
Afghanistan,AFG,2010,1.9252,3.2308,1.6448,0,12,0,0,0,2.0613,0,0
Afghanistan,AFG,2011,1.5179,3.2,1.64,0,10,0,0,0,1.61,0,0
Afghanistan,AFG,2012,2.0104,2.439,2.1986,0,10.9524,0,0,0,1.8,0,0
Afghanistan,AFG,2013,2.0248,2.498,2.1972,0,13.196,0,0,0,1.8489,0,0
Afghanistan,AFG,2014,2.0237,2.4409,2.4882,0,13.6054,0,0,0,1.5213,0,0
Afghanistan,AFG,2015,2.1959,2.5,2.1457,0,13.0903,0,0,0,1.4291,0,0
Afghanistan,AFG,2016,1.9803,2.9963,2.0517,0,11.9868,0,0,0,1.377,0,0
Afghanistan,AFG,2017,2.0342,3.0919,1.2957,0,15.9794,0,0,0,1.3933,0,0
Afghanistan,AFG,2018,2.21,2.9963,1.4727,0,19.0026,0,0,0,0.6748,0,0
Albania,ALB,1961,0.7731,1.5514,0.9541,0,7.2134,0.7059,0,0,1.0224,0,0
Albania,ALB,1962,1.0522,1.6675,0.9079,0,5.4341,0.7031,0,0,0.8405,0,0
Albania,ALB,1963,0.7127,2.3599,1.1924,0,7.6758,0.7008,0,0,0.877,0,0
Albania,ALB,1964,0.9625,2.3094,1.1634,0,9.0389,0.6989,0,0,1.0258,0,0
Albania,ALB,1965,1.1344,2.5998,1.0509,0,5.7544,0.6966,0,0,0.9865,0,0
Albania,ALB,1966,1.2398,2.7363,1.5051,0,8.7322,0.7001,0,0,1.2,0,0
Albania,ALB,1967,1.355,2.7912,1.7241,0,7.2367,0.7038,0,0,0.9905,0,0
Albania,ALB,1968,1.4124,3.0831,1.8782,0,7.2483,0.6999,0,0,0.8144,0,0
Albania,ALB,1969,1.6389,3.2698,1.9485,0,5.5738,0.6985,0,0,0.8333,0,0
Albania,ALB,1970,1.5377,2.9705,2.0718,0,5.4693,0.7022,0,0,1.0778,0,0
Albania,ALB,1971,1.8735,3.1573,1.9443,0,6.3302,0.7266,0,0,0.8333,0,0
Albania,ALB,1972,1.9,3,1.9667,0,5.3203,0.7059,0,0,0.9059,0,0
Albania,ALB,1973,2.0097,3.16,2,0,6.0902,0.7971,0,0,1.0112,0,0
Albania,ALB,1974,2.0625,3,2.1981,0,6.7097,0.8012,0,0,1,0,0
Albania,ALB,1975,1.9375,3.375,2.7,0,6.9677,0.8,0,0,0.9804,0,0
Albania,ALB,1976,2.5526,3.5,3.1111,0,7.4194,0.8011,0,0,1.4286,0,0
Albania,ALB,1977,2.45,3.6,3.7647,0,7.5484,0.801,0,0,1.6364,0,0
Albania,ALB,1978,2.45,3.7,3.9535,0,7.6774,0.8019,0,0,1.8182,0,0
Albania,ALB,1979,2.49,3.88,3.75,0,7.6645,0.8043,0,0,1.9167,0,0
Albania,ALB,1980,2.5198,3.25,2.6504,1,6.0613,0.8,0,0,2.0833,0,0
Albania,ALB,1981,2.5321,3.475,3.1585,1.0833,7.1747,0.8696,0,0,2.0833,0,0
Albania,ALB,1982,2.6886,2.975,3.7252,1.25,6.4872,0.9524,0,0,2.0992,0,0
Albania,ALB,1983,3.0879,3.6111,4.2263,1.4,8.7742,0.95,0,0,2.3077,0,0
Albania,ALB,1984,3.1579,3.5,3.7209,1.5,6.2937,0.9474,0,0,2.3077,0,0
Albania,ALB,1985,3.1406,4,3.5128,1.6,5.6667,0.9412,0,0,2.3077,0,0
Albania,ALB,1986,2.8945,3.6667,4.5065,1.5,7.8571,1.1667,0,0,2.7692,0,0
Albania,ALB,1987,3.1031,3.2121,3.8148,1.2,6.3571,0.7826,0,0,2.9231,0,0
Albania,ALB,1988,3.201,2.7594,3.2871,1,5,0.75,0,0,3.0769,0,0
Albania,ALB,1989,2.9302,3.1296,4.7969,0.8571,10.7778,1,0,0,3.0303,0,0
Albania,ALB,1990,3.0197,2.3333,3.6613,0.7,6.6667,0.6364,0,0,1,0,0
Albania,ALB,1991,2.0698,2.8538,2.9068,0.6066,7.7818,0.8133,0,0,0.9231,0,0
Albania,ALB,1992,2.4388,4,2.4876,0.4507,8.292,1.2286,0,0,1.3802,0,0
Albania,ALB,1993,2.9976,4.1786,2.4185,0.7998,9.8446,1.1676,0,0,1.3324,0,0
Albania,ALB,1994,2.4745,0,2.5848,0.7927,8.1404,0.8966,0,0,2.3523,0,0
Albania,ALB,1995,2.8703,0,3.13,1.1791,11.1323,0.9011,0,0,2.2527,0,0
Albania,ALB,1996,2.1741,0,3.2604,1.548,10.6138,1.0665,0,0,1.3379,0,0
Albania,ALB,1997,2.8516,0,3.1862,1.2768,10.9874,0.9486,0,0,1.4573,0,0
Albania,ALB,1998,2.8037,0,3.3416,1.4327,12.7212,1.0848,0,0,1.9106,0,0
Albania,ALB,1999,2.4954,0,3.7455,1.7143,14.2018,1.1404,0,0,1.8125,0,0
Albania,ALB,2000,3.0455,0,3.8811,1.5,14.1228,1.12,0,0,1.5,0,0
Albania,ALB,2001,2.822,0,3.8135,2,14.8818,1.1946,0,0,2.5,0,0
Albania,ALB,2002,3.1617,0,3.946,2,15.3868,1.408,0,0,4.75,0,0
Albania,ALB,2003,2.8629,0,4.2805,1.2107,15.1301,1.023,0,0,1.871,0,0
Albania,ALB,2004,3.113,0,4.6197,1.3333,14.9346,1.3023,0,0,2.4667,0,0
Albania,ALB,2005,3.1582,0,4.5442,1.75,16.7061,1.4658,0,0,2.7297,0,0
Albania,ALB,2006,3.0787,0,5.0111,2,17.0745,1.6118,0,0,2.7586,0,0
Albania,ALB,2007,3.5496,0,4.6732,2,18.8902,1.4247,0,0,2.5,0,0
Albania,ALB,2008,4.0168,0,5,2,19.3878,1.5245,0,0,2.5714,0,0
Albania,ALB,2009,4.0229,0,5.5693,1.6667,21.978,1.6429,0,0,2.6471,0,0
Albania,ALB,2010,3.9905,0,6.679,1.6667,23.1111,1.7518,0,0,2.92,0,0
Albania,ALB,2011,4.2301,0,5.9869,1.8519,24.2211,1.7569,0,0,3.0634,0,0
Albania,ALB,2012,4.1096,0,6.729,1.3333,25.0538,1.8493,0,0,2.8,0,0
Albania,ALB,2013,4.1292,0,6.9533,1,26.011,1.9718,0,0,2.788,0,0
Albania,ALB,2014,4.0001,0,6.9091,1.6908,25,2.0548,0,0,2.7007,0,0
Albania,ALB,2015,3.9511,0,6.9597,2.5,24.2574,1.8792,0,0,2.8,0,0
Albania,ALB,2016,3.9,0,6.4877,2.5152,24.5894,1.812,0,0,2.8995,0,0
Albania,ALB,2017,4.0367,0,6.5632,2.2026,25.111,1.6256,0,0,2.9478,0,0
Albania,ALB,2018,3.6927,0,7.2273,2.9407,26.1714,1.8352,0,0,2.8422,0,0
Algeria,DZA,1961,0.406,4.5512,0.9746,0,10.6217,0.7959,0.5201,0,0.2232,0,0
Algeria,DZA,1962,0.8045,4,0.54,0,10,0.8333,0.6333,0,0.8354,0,0
Algeria,DZA,1963,0.8326,4.4041,1.0716,0,9.2466,0.7647,0.7,0,0.7431,0,0
Algeria,DZA,1964,0.5317,3.8275,1.1703,0,7.0342,0.7402,0.5983,0,0.4933,0,0
Algeria,DZA,1965,0.6057,2.9105,1.1,0,8.1919,0.6147,0.4649,0,0.601,0,0
Algeria,DZA,1966,0.4252,2.8906,0.819,0,6.6768,0.6151,0.565,0,0.3294,0,0
Algeria,DZA,1967,0.6333,2.6655,1.0948,0,6.3501,0.5068,0.556,0,0.6086,0,0
Algeria,DZA,1968,0.6899,3.1333,1.1443,0,6.8023,0.3969,0.4583,0,0.7434,0,0
Algeria,DZA,1969,0.6034,3.4066,0.9985,0,5.2466,0.3526,0.4005,0,0.6334,0,0
Algeria,DZA,1970,0.6245,1.581,1.0235,0,6.2542,0.2331,0.3424,0,0.6685,0,0
Algeria,DZA,1971,0.6133,2.3403,0.8135,0,6.215,0.3578,0.4462,0,0.5106,0,0
Algeria,DZA,1972,0.6701,2.0729,0.8528,0,5.345,0.4791,0.3933,0,0.6791,0,0
Algeria,DZA,1973,0.4934,2.0057,1.1795,0,5.595,0.3593,0.4384,0,0.4759,0,0
Algeria,DZA,1974,0.4957,2.4706,1.3506,0,6.6107,0.7545,0.4506,0,0.4802,0,0
Algeria,DZA,1975,0.8313,2.7586,1.8059,0,8.2059,0.9694,0.6309,0,0.869,0,0
Algeria,DZA,1976,0.7101,2.558,1.2787,0,7.0937,0.8598,0.6456,0,0.6314,0,0
Algeria,DZA,1977,0.4337,2.4719,1.2226,0,6.3036,0.7984,0.4883,0,0.3515,0,0
Algeria,DZA,1978,0.5809,1.1192,1.0813,0,6.4833,0.6641,0.466,0,0.5956,0,0
Algeria,DZA,1979,0.5553,2.5,1.1169,0,6.4925,0.3515,0.3699,0,0.5644,0,0
Algeria,DZA,1980,0.7297,2.8571,0.966,0,7.77,0.3584,0.3094,0,0.8408,0,0
Algeria,DZA,1981,0.672,2.8571,1.0031,0,6.3716,0.3908,0.3466,0,0.6027,0,0
Algeria,DZA,1982,0.5965,2.8571,0.7836,0,5.6293,0.3624,0.1967,0,0.5929,0,0
Algeria,DZA,1983,0.5635,2.6667,0.9333,0,6.3894,0.2739,0.1138,0,0.6214,0,0
Algeria,DZA,1984,0.573,2.6667,1.867,0,7.2451,0.2803,0.2232,0,0.5059,0,0
Algeria,DZA,1985,0.8861,2.6667,0.6376,0,8.3576,0.3352,0.3584,0,0.9572,0,0
Algeria,DZA,1986,0.8084,2.6957,0.8433,0,8.3971,0.3813,0.3871,0,0.8935,0,0
Algeria,DZA,1987,0.7777,2.7083,1.4106,0,8.4197,0.2786,0.2692,0,0.7529,0,0
Algeria,DZA,1988,0.6006,2.7925,1,0,9.209,0.287,0.1245,0,0.5777,0,0
Algeria,DZA,1989,0.7821,2.7925,2.4,0,9.6166,0.4227,0.2842,0,0.7523,0,0
Algeria,DZA,1990,0.6315,2.8,1.65,0,7.8936,0.8673,0.3019,0,0.761,0,0
Algeria,DZA,1991,1.0809,2.6786,1.9231,0,9.0747,0.5729,0.5296,0,1.1635,0,0
Algeria,DZA,1992,0.9939,2.4739,2.2828,0,10.7917,0.7733,0.4615,0,0.8975,0,0
Algeria,DZA,1993,0.8097,2.3121,1.25,0,11.1215,0.598,0.1619,0,0.6252,0,0
Algeria,DZA,1994,0.7999,2.1387,0.4512,0,9.5078,0.3475,0.2361,0,0.6482,0,0
Algeria,DZA,1995,0.8924,1.9615,1.6115,0,13.6768,0.522,0.2488,0,0.7098,0,0
Algeria,DZA,1996,1.309,1.7881,1.7154,0,13.4629,0.4675,0.5672,0,1.4037,0,0
Algeria,DZA,1997,0.8016,1.5,2.1417,0,14.1042,0.4614,0.1583,0,0.7208,0,0
Algeria,DZA,1998,0.8847,1.5032,1.7222,0,16.0256,0.5832,0.4555,0,0.7453,0,0
Algeria,DZA,1999,1.0711,1.3983,2.2375,0,15.3532,0.5397,0.465,0,1.0875,0,0
Algeria,DZA,2000,0.9194,1.3101,3.6186,0,16.6143,0.3273,0.2222,0,0.7573,0,28.2783
Algeria,DZA,2001,1.1104,1.2371,2.7175,0,14.7018,0.622,0.5592,0,1.1143,0,33.7487
Algeria,DZA,2002,1.0739,1.305,3.348,0,18.3774,0.7261,0.6088,0,1.0367,0,35.0068
Algeria,DZA,2003,1.448,1.2888,2.8853,0,21.2037,0.7026,0.7306,0,1.5619,0,30.7124
Algeria,DZA,2004,1.3582,1.2891,3.1729,0,20.3585,0.7937,0.7902,0,1.3235,0,26.7143
Algeria,DZA,2005,1.5057,1.3053,3.3864,0,21.6267,0.5522,0.6433,0,1.5085,0,23.1667
Algeria,DZA,2006,1.5068,1.2804,6.5668,0,22.0689,0.6116,0.5876,0,1.5215,0,11
Algeria,DZA,2007,1.2742,1.3407,8.5625,0,18.9927,0.6578,0.6798,0,1.2218,0,8.0882
Algeria,DZA,2008,1.1038,1.3979,4.4714,0,23.6393,0.5231,0.4788,0,0.9082,0,9.2132
Algeria,DZA,2009,1.5975,1.4615,3.0914,0,25.0764,0.7172,0.7033,0,1.7616,0,15.3779
Algeria,DZA,2010,1.4838,1.532,2.5827,0,27.0526,0.696,0.746,0,1.4762,0,18.9031
Algeria,DZA,2011,1.7405,1.6089,2.3374,0,29.2806,0.7824,0.7478,0,1.476,0,22.3409
Algeria,DZA,2012,1.7639,1.6667,2.5583,0,30.4291,0.651,0.9279,0,1.5446,0,25.7692
Algeria,DZA,2013,1.91,1.7778,3.3649,0,30.3218,0.9544,0.9795,0,1.6694,0,25.7692
Algeria,DZA,2014,1.4753,1.7778,2.6165,0,29.9247,0.8224,0.8922,0,1.1863,0,25.2446
Algeria,DZA,2015,1.464,1.8281,3.9242,0,29.6099,0.7947,0.9855,0,1.2844,0,19.7384
Algeria,DZA,2016,1.1833,1.9483,4.5122,0,30.4506,0.6681,0.7801,0,0.7441,0,20.202
Algeria,DZA,2017,1.1501,2.0179,1.3007,0,30.9524,0.7781,0.972,0,0.7441,0,19.9881
Algeria,DZA,2018,1.9076,2.0871,1.8407,0,31.0916,0.989,1.1049,0,1.5321,0,19.7741
American Samoa,ASM,1961,0,0,0,0,0,0,0,13.3333,0,0.0794,1.2
American Samoa,ASM,1962,0,0,0,0,0,0,0,13.3333,0,0.0875,1.2
American Samoa,ASM,1963,0,0,0,0,0,0,0,13.6667,0,0.1,1.44
American Samoa,ASM,1964,0,0,0,0,0,0,0,12.6667,0,0.02,2.26
American Samoa,ASM,1965,0,0,0,0,0,0,0,7.5,0,0.05,2.2395
American Samoa,ASM,1966,0,0,0,0,0,0,0,8.5,0,0.1111,1.3992
American Samoa,ASM,1967,0,0,0,0,0,0,0,8.3333,0,0.25,2.1436
American Samoa,ASM,1968,0,0,0,0,0,0,0,8.5,0,0.2857,1.7857
American Samoa,ASM,1969,0,0,0,0,0,0,0,8.5,0,0.3429,2.7286
American Samoa,ASM,1970,0,0,0,0,0,0,0,9,0,0.4,3.3829
American Samoa,ASM,1971,0,0,0,0,0,0,0,10,0,0.3667,3
American Samoa,ASM,1972,0,0,0,0,0,0,0,8.6667,0,0.3667,2.9787
American Samoa,ASM,1973,0,0,0,0,0,0,0,6.6667,0,0.3333,3.25
American Samoa,ASM,1974,0,0,0,0,0,0,0,5,0,0.3333,3
American Samoa,ASM,1975,0,0,0,0,0,0,0,5.3333,0,0.3,2.75
American Samoa,ASM,1976,0,0,0,0,0,0,0,5.6667,0,0.3,2.8571
American Samoa,ASM,1977,0,0,0,0,0,0,0,5.3333,0,0.2667,2.8571
American Samoa,ASM,1978,0,0,0,0,0,0,0,4.3333,0,0.2727,2.8571
American Samoa,ASM,1979,0,0,0,0,0,0,0,3.6667,0,0.2727,2.8571
American Samoa,ASM,1980,0,0,0,0,0,0,0,5,0,0.375,2.8571
American Samoa,ASM,1981,0,0,0,0,0,0,0,6.5,0,0.25,2.8571
American Samoa,ASM,1982,0,0,0,0,0,0,0,6.75,0,0.25,3.1429
American Samoa,ASM,1983,0,0,0,0,0,0,0,4.75,0,0.1333,3.1429
American Samoa,ASM,1984,0,0,0,0,0,0,0,4.5,0,0.0667,2.8571
American Samoa,ASM,1985,0,0,0,0,0,0,0,4.5,0,0.0667,2.8571
American Samoa,ASM,1986,0,0,0,0,0,0,0,4.75,0,0.0667,2.8571
American Samoa,ASM,1987,0,0,0,0,0,0,0,5,0,0.0667,2.8571
American Samoa,ASM,1988,0,0,0,0,0,0,0,5,0,0.0667,2.8571
American Samoa,ASM,1989,0,0,0,0,0,0,0,6.6667,0,0.3333,2.8857
American Samoa,ASM,1990,0,0,0,0,0,0,0,3.1429,0,0.0667,2.8653
American Samoa,ASM,1991,0,0,0,0,0,0,0,6.2216,0,0.0667,2.4709
American Samoa,ASM,1992,0,0,0,0,0,0,0,6.1829,0,0.0667,2.5
American Samoa,ASM,1993,0,0,0,0,0,0,0,6.1441,0,0.0667,2.4714
American Samoa,ASM,1994,0,0,0,0,0,0,0,6.1054,0,0.0614,2.4671
American Samoa,ASM,1995,0,0,0,0,0,0,0,6.0667,0,0.0614,2.4626
American Samoa,ASM,1996,0,0,0,0,0,0,0,6.0224,0,0.0614,2.4582
American Samoa,ASM,1997,0,0,0,0,0,0,0,6.125,0,0.0615,2.4536
American Samoa,ASM,1998,0,0,0,0,0,0,0,7.06,0,0.0615,2.449
American Samoa,ASM,1999,0,0,0,0,0,0,0,6.6667,0,0.0615,2.4442
American Samoa,ASM,2000,0,0,0,0,0,0,0,5.8301,0,0.0616,2.4394
American Samoa,ASM,2001,0,0,0,0,0,0,0,5.6503,0,0.0616,2.4343
American Samoa,ASM,2002,0,0,0,0,0,0,0,5.5209,0,0.0616,2.4291
American Samoa,ASM,2003,0,0,0,0,0,0,0,3,0,0.0616,2.4238
American Samoa,ASM,2004,0,0,0,0,0,0,0,6.6667,0,0.0616,2.4181
American Samoa,ASM,2005,0,0,0,0,0,0,0,5.8486,0,0.0616,2.412
American Samoa,ASM,2006,0,0,0,0,0,0,0,5.8351,0,0.0667,2.4063
American Samoa,ASM,2007,0,0,0,0,0,0,0,5.8093,0,0.0667,2.3939
American Samoa,ASM,2008,0,0,0,0,0,0,0,5.7776,0,0.0608,2.3904
American Samoa,ASM,2009,0,0,0,0,0,0,0,5.7227,0,0.0576,2.3822
American Samoa,ASM,2010,0,0,0,0,0,0,0,5.6641,0,0.0556,2.3738
American Samoa,ASM,2011,0,0,0,0,0,0,0,5.6089,0,0.0555,2.3651
American Samoa,ASM,2012,0,0,0,0,0,0,0,5.7143,0,0.0553,2.3243
American Samoa,ASM,2013,0,0,0,0,0,0,0,5.6667,0,0.0552,2.3443
American Samoa,ASM,2014,0,0,0,0,0,0,0,5.6348,0,0.0558,2.3452
American Samoa,ASM,2015,0,0,0,0,0,0,0,5.6623,0,0.0557,2.3412
American Samoa,ASM,2016,0,0,0,0,0,0,0,5.7219,0,0.0551,2.3359
American Samoa,ASM,2017,0,0,0,0,0,0,0,5.7181,0,0.0546,2.3311
American Samoa,ASM,2018,0,0,0,0,0,0,0,5.7142,0,0.0542,2.3263
Angola,AGO,1961,1.1111,1.16,0.8113,0,5,0.4783,0,3.5714,0,0.25,8.75
Angola,AGO,1962,1.1111,1.2105,0.8113,0,5,0.5043,0,3.1875,0,0.25,9.25
Angola,AGO,1963,1.1111,1.25,0.7692,0,5.3191,0.5217,0,3.25,0,0.2143,9.0909
Angola,AGO,1964,0.9286,1.3,0.8654,0,5.8824,0.525,0,3.3,0,0.2143,9.3182
Angola,AGO,1965,1.1111,1.3913,0.9375,0,5.7034,0.5043,0,3.3333,0,0.2857,8.75
Angola,AGO,1966,1.1,1.3636,0.7917,0,5.7034,0.5378,0,3.3333,0,0.2143,8.75
Angola,AGO,1967,1.35,1.4865,0.76,0,5.8935,0.5319,0,3.3889,0,0.2857,8.875
Angola,AGO,1968,1.35,0.6885,0.7827,0,6.0837,0.5319,0,3.4333,0,0.25,8.875
